dataset,n_estimators,train_error,test_error
breast_cancer,157,0.0,0.03508771929824561
breast_cancer,158,0.0,0.03508771929824561
breast_cancer,159,0.0,0.03508771929824561
breast_cancer,160,0.0,0.03508771929824561
breast_cancer,161,0.0,0.03508771929824561
breast_cancer,162,0.0,0.03508771929824561
breast_cancer,163,0.0,0.03508771929824561
breast_cancer,164,0.0,0.03508771929824561
breast_cancer,165,0.0,0.03508771929824561
breast_cancer,166,0.0,0.03508771929824561
breast_cancer,167,0.0,0.03508771929824561
breast_cancer,168,0.0,0.03508771929824561
breast_cancer,169,0.0,0.03508771929824561
breast_cancer,170,0.0,0.03508771929824561
breast_cancer,171,0.0,0.03508771929824561
breast_cancer,172,0.0,0.03508771929824561
breast_cancer,173,0.0,0.03508771929824561
breast_cancer,174,0.0,0.03508771929824561
breast_cancer,175,0.0,0.03508771929824561
breast_cancer,176,0.0,0.03508771929824561
breast_cancer,177,0.0,0.03508771929824561
breast_cancer,178,0.0,0.03508771929824561
breast_cancer,179,0.0,0.03508771929824561
breast_cancer,180,0.0,0.03508771929824561
breast_cancer,181,0.0,0.03508771929824561
breast_cancer,182,0.0,0.03508771929824561
breast_cancer,183,0.0,0.03508771929824561
breast_cancer,184,0.0,0.03508771929824561
breast_cancer,185,0.0,0.03508771929824561
breast_cancer,186,0.0,0.03508771929824561
breast_cancer,187,0.0,0.03508771929824561
breast_cancer,188,0.0,0.03508771929824561
breast_cancer,189,0.0,0.03508771929824561
breast_cancer,190,0.0,0.03508771929824561
breast_cancer,191,0.0,0.03508771929824561
breast_cancer,192,0.0,0.03508771929824561
breast_cancer,193,0.0,0.03508771929824561
breast_cancer,194,0.0,0.03508771929824561
breast_cancer,195,0.0,0.03508771929824561
breast_cancer,196,0.0,0.03508771929824561
breast_cancer,197,0.0,0.03508771929824561
breast_cancer,198,0.0,0.03508771929824561
breast_cancer,199,0.0,0.03508771929824561
breast_cancer,200,0.0,0.03508771929824561
adult,1,0.24791666666666667,0.2475
adult,2,0.29125,0.28
